Temperature_C,Humidity_Percent,CO_ppm
23.96,61.3,30.38
24.31,61.6,31.37
23.89,60.9,30.89
24.19,61.3,31.04
24.43,61.4,31.21
23.95,61.5,32.3
24.02,60.6,30.52
24.11,61.4,31.21
24.02,61.1,31.01
23.87,61.5,31.0
24.11,61.1,31.39
23.94,61.1,30.29
24.17,61.3,30.25
23.96,61.1,30.66
24.33,61.3,30.41
23.98,61.0,30.66
24.05,60.9,31.28
24.22,61.7,30.26
23.92,61.0,30.35
24.13,61.3,30.59
24.3,61.6,30.39
23.86,61.2,29.54
24.13,61.2,30.21
24.14,61.5,30.84
24.22,61.7,31.22
23.91,61.0,29.92
23.9,61.4,29.92
24.18,60.9,30.52
24.14,61.3,29.46
24.14,61.4,30.28
24.15,61.1,29.63
24.0,61.3,31.18
24.13,61.0,30.12
24.14,61.4,31.33
23.99,61.7,31.06
24.38,61.1,30.18
24.17,61.2,29.96
23.92,61.6,30.4
24.2,61.8,30.45
23.95,61.0,30.67
24.22,61.3,30.11
24.27,61.5,30.87
23.98,61.4,30.63
24.24,60.7,30.33
24.16,61.6,30.14
24.22,61.9,30.41
24.38,61.4,30.09
24.06,61.1,30.53
23.99,61.2,30.54
23.97,61.9,30.63
23.98,61.7,31.38
24.09,61.6,30.43
24.15,61.5,31.0
24.14,61.2,30.61
24.22,61.3,30.38
24.1,61.4,30.44
24.32,61.6,30.47
24.06,61.9,30.64
24.51,61.7,30.02
24.19,61.0,29.77
23.97,61.5,30.83
23.94,61.6,30.95
24.17,61.6,30.87
24.07,61.2,30.58
24.21,62.3,30.88
24.17,61.0,30.86
24.09,61.1,30.89
23.97,61.5,30.07
23.87,62.0,29.95
24.03,61.1,30.31
24.23,61.3,30.49
24.13,61.7,30.38
23.91,61.4,29.56
24.13,61.3,31.36
24.16,61.6,30.36
23.97,61.5,30.59
24.12,61.7,31.12
24.11,61.8,29.33
23.93,61.5,30.24
24.15,61.5,30.31
24.18,61.5,30.33
24.26,61.5,30.41
24.26,61.4,31.22
23.89,61.4,30.84
23.96,61.8,30.98
24.18,61.9,30.52
24.18,60.9,29.8
24.18,61.4,29.46
24.68,61.2,29.74
24.19,61.3,30.68
24.27,61.5,30.52
24.24,61.6,30.39
24.2,61.4,30.32
24.05,60.8,31.51
24.21,61.1,30.09
23.98,61.7,30.96
24.06,60.6,30.5
24.03,61.8,30.47
24.11,61.6,31.09
24.45,61.8,31.23
23.82,61.3,30.38
24.2,60.8,30.9
23.86,61.5,30.68
24.03,61.8,30.5
24.26,61.7,30.6
24.11,61.2,30.16
23.94,61.4,30.35
23.99,61.2,30.21
24.2,61.2,30.95
23.99,61.7,30.45
24.13,61.0,29.85
24.11,61.1,30.14
24.0,61.1,28.9
24.42,61.0,30.25
24.2,61.4,30.52
23.8,61.7,30.43
24.13,61.3,31.49
24.0,60.9,30.79
24.23,61.7,30.77
23.98,61.9,29.68
24.08,61.2,30.32
24.18,61.3,30.26
24.23,61.6,30.11
23.92,61.9,30.1
24.05,61.2,29.6
24.03,61.0,29.86
24.0,61.6,30.94
24.36,61.6,30.43
24.16,61.4,30.25
23.91,61.2,30.5
24.24,61.7,31.08
24.42,61.6,30.5
24.25,61.2,30.77
23.87,61.4,30.08
24.03,61.0,30.19
24.29,61.6,30.68
23.99,61.3,31.45
24.17,61.3,31.21
24.22,61.4,30.79
23.96,61.4,30.58
24.09,61.7,31.2
23.61,61.6,30.9
23.95,61.4,29.35
24.06,61.6,29.97
23.91,61.5,30.67
24.34,61.3,29.61
23.89,61.4,30.05
24.03,61.4,30.15
24.12,61.6,30.37
24.32,61.3,30.36
23.88,61.3,30.36
24.27,62.0,30.91
24.1,61.7,30.37
23.95,61.2,30.31
24.17,61.6,29.83
24.13,61.4,31.01
24.01,61.5,30.16
24.11,61.4,29.96
24.04,61.8,30.61
24.12,61.5,30.12
24.2,61.4,30.24
24.34,61.7,30.63
23.91,61.5,30.34
24.42,61.4,31.66
23.81,61.5,30.46
24.08,61.4,30.81
24.19,61.4,29.53
24.14,61.2,30.07
24.01,61.2,29.96
24.07,61.1,30.02
24.03,61.0,30.71
24.01,61.1,31.02
24.23,61.3,30.67
24.15,61.4,30.39
24.0,61.3,30.18
24.23,60.7,31.06
24.15,61.9,31.54
24.22,61.7,30.57
24.19,61.5,30.97
23.98,62.0,30.67
24.02,61.1,30.88
24.21,62.0,29.92
24.19,61.1,30.26
24.1,61.5,30.7
24.12,61.0,31.11
24.29,61.4,30.09
24.01,61.5,29.48
24.18,61.4,30.25
24.07,61.6,31.01
24.07,61.4,29.71
24.26,61.2,29.91
24.22,61.2,30.58
24.22,61.6,30.44
24.3,61.2,30.8
24.1,61.7,29.89
24.2,61.8,30.34
24.05,60.9,31.1
24.15,61.7,29.9
24.08,62.0,31.24
24.11,61.5,29.97
24.19,61.6,30.92
23.98,61.7,30.31
24.41,61.3,29.93
23.95,61.5,30.25
23.92,61.0,30.77
24.27,61.4,30.5
24.22,61.5,31.06
24.19,61.6,31.22
24.19,61.7,29.91
24.1,61.2,29.87
23.97,61.2,29.85
24.11,62.0,30.05
24.0,61.4,31.05
24.25,61.5,30.78
24.08,61.4,30.23
23.98,61.2,30.49
24.05,61.9,31.2
24.16,61.2,31.45
24.02,61.1,30.63
23.98,61.3,29.17
24.14,60.8,30.65
24.14,61.2,30.97
24.02,61.1,30.61
24.03,61.6,30.86
24.13,61.2,30.68
23.88,61.7,29.88
23.89,61.8,30.06
23.99,61.6,30.34
24.07,61.3,31.03
24.15,61.4,30.12
24.32,60.9,30.73
24.23,61.4,30.65
24.08,61.1,31.29
24.1,61.6,30.48
23.95,62.2,29.62
24.1,61.5,30.82
24.06,60.8,31.57
24.15,61.3,30.86
23.98,61.4,30.11
24.18,61.4,29.96
24.33,61.2,30.02
24.08,61.5,31.5
24.16,61.0,30.34
24.2,61.1,30.17
24.04,61.6,30.42
24.13,61.1,30.34
24.1,61.6,31.28
24.11,61.0,29.99
23.98,61.9,31.09
24.1,61.2,30.56
24.17,61.3,31.1
24.32,61.5,31.29
24.24,61.2,30.54
24.42,61.4,30.34
23.98,61.6,30.53
24.23,61.7,30.45
24.13,61.6,29.67
24.43,61.3,31.28
23.98,61.4,30.62
23.97,62.1,29.92
24.01,61.7,29.47
23.78,61.1,29.34
24.02,61.4,30.89
23.99,61.3,30.19
24.12,61.4,30.27
24.15,61.0,30.74
24.38,61.3,30.24
24.24,61.9,30.77
24.01,61.6,30.55
23.97,60.7,30.46
24.17,61.8,29.71
23.9,61.7,30.09
24.37,61.3,30.8
24.28,61.6,30.16
24.03,61.1,31.1
23.84,61.3,31.67
24.3,61.8,30.83
24.08,61.3,31.25
24.29,60.8,30.86
23.86,61.4,30.23
24.01,61.4,30.6
24.1,61.8,31.51
24.11,61.4,30.24
24.03,61.3,29.98
24.19,61.7,29.93
23.94,61.4,30.39
24.08,61.2,30.0
24.12,61.7,31.34
24.18,61.5,30.61
24.21,61.4,30.99
23.93,61.5,30.35
23.87,61.1,29.93
24.29,61.2,29.85
24.15,61.4,30.05
23.99,61.3,30.67
24.33,61.8,30.76
24.12,61.5,30.8
24.28,61.7,29.76
24.11,61.4,30.5
24.41,61.7,29.99
24.36,61.5,30.7
24.06,61.4,30.74
24.25,61.4,29.91
24.2,61.1,30.98
24.31,61.6,31.67
23.96,61.4,30.92
24.2,61.2,30.42
24.26,61.7,30.34
23.84,61.0,30.4
23.92,61.3,30.12
23.79,61.7,30.63
24.06,61.5,29.93
24.21,61.4,29.56
24.33,61.5,30.61
24.11,61.5,30.51
24.34,60.9,30.21
23.89,61.3,29.86
23.84,61.9,30.64
24.09,61.2,30.0
24.16,61.3,30.43
24.1,61.2,31.38
23.79,61.4,30.83
24.09,61.2,29.82
23.9,61.5,29.86
24.2,61.5,30.58
24.15,61.6,29.81
23.96,61.1,29.5
24.02,61.3,30.77
23.94,61.3,30.66
24.09,61.5,30.73
24.24,61.2,30.63
23.95,61.7,30.47
24.18,61.8,30.17
24.02,61.1,30.76
23.98,61.3,31.26
24.08,61.2,30.25
23.94,62.2,29.99
24.02,61.3,29.93
23.92,61.9,30.07
24.39,61.0,30.6
24.11,61.1,29.43
24.0,61.2,30.72
24.13,61.1,30.82
24.08,61.3,29.6
24.07,61.2,30.01
24.19,61.2,30.54
24.21,61.7,30.43
24.02,61.8,30.76
24.01,61.7,30.43
24.06,61.6,31.13
23.75,61.4,30.34
23.87,61.3,30.01
24.31,61.1,29.97
24.35,61.5,30.87
24.06,61.0,30.51
24.19,61.1,30.82
24.15,61.7,30.81
24.56,62.0,29.49
24.27,61.5,29.93
24.08,61.7,29.99
23.96,61.3,30.09
23.86,61.0,30.29
24.13,61.6,31.0
23.99,61.6,31.1
23.89,61.4,30.35
24.0,61.3,30.37
23.94,61.7,30.15
24.35,61.1,30.54
24.23,61.2,30.6
24.1,61.1,30.9
24.32,61.4,30.9
24.11,61.1,29.35
23.97,61.2,30.42
24.33,61.2,31.19
24.18,61.3,30.28
23.94,61.0,31.07
24.07,61.4,30.35
23.97,61.8,30.59
23.89,61.4,29.93
24.24,61.9,29.95
24.39,61.8,30.86
23.89,61.6,30.94
24.18,61.4,30.51
24.0,61.4,29.89
24.03,61.6,30.52
24.01,61.3,31.13
23.97,60.8,31.37
24.11,61.5,30.34
23.98,61.1,29.67
24.14,61.1,30.92
24.09,61.4,30.36
24.06,61.4,30.97
23.96,61.0,30.64
24.01,61.4,30.06
24.21,61.7,30.53
24.18,61.1,31.15
23.95,61.8,30.43
24.11,60.9,29.98
24.21,62.0,29.71
23.85,61.3,30.11
24.18,61.4,30.29
24.0,60.8,30.91
24.19,61.4,29.94
23.99,61.5,31.28
23.83,61.4,29.83
23.86,61.2,31.67
24.11,61.1,31.36
24.14,61.7,30.57
23.96,61.4,29.68
24.2,61.9,30.47
23.85,61.2,30.31
24.09,61.3,29.86
23.92,61.6,30.65
24.0,60.9,30.09
24.11,61.0,30.14
23.97,61.7,30.4
24.04,61.0,30.21
24.25,60.9,31.54
24.01,62.0,30.23
24.23,61.0,30.72
23.93,61.5,30.57
24.18,61.4,30.68
24.32,60.6,30.71
23.73,61.3,30.94
23.98,61.5,30.63
24.19,61.5,30.61
24.07,61.7,30.53
24.16,61.3,30.43
24.01,61.6,30.04
24.11,61.2,30.47
24.08,61.0,30.62
24.28,61.0,30.7
24.14,61.0,30.59
24.15,61.7,30.38
24.04,60.9,30.47
24.03,61.5,30.22
24.04,61.3,30.66
24.16,61.4,30.39
24.04,61.8,30.59
24.14,61.3,31.0
24.41,61.6,30.15
24.23,61.4,30.8
24.05,61.4,30.52
24.28,62.1,31.51
24.04,61.0,30.39
23.79,61.8,30.85
23.95,61.6,30.51
23.82,61.3,29.81
24.05,61.9,30.24
24.1,60.8,30.94
24.35,61.2,30.28
24.15,61.0,29.39
24.07,61.5,30.48
24.22,61.1,29.95
23.77,61.5,30.57
24.14,61.3,31.28
24.22,61.3,30.88
23.88,61.5,31.27
24.27,61.3,30.22
24.15,61.1,30.43
24.04,62.2,29.98
24.19,61.3,30.16
24.44,60.7,30.04
24.13,61.1,29.85
24.14,61.0,31.18
24.03,61.6,29.45
23.97,61.5,31.19
24.22,61.5,31.12
23.97,61.3,30.75
24.11,61.3,29.94
24.03,61.3,29.71
24.17,61.4,30.23
24.15,61.7,30.81
24.26,61.5,30.5
24.02,61.6,29.98
24.06,61.5,31.07
23.95,61.7,31.34
24.03,61.5,30.39
24.16,61.5,30.55
24.21,61.8,29.75
23.96,61.2,30.29
24.23,61.1,30.76
24.3,61.0,30.68
24.16,61.5,30.25
24.38,60.8,30.36
23.98,61.5,30.28
23.91,61.4,30.36
23.83,61.7,30.71
24.32,61.2,29.52
24.2,61.3,30.46
24.09,61.7,30.67
24.14,61.8,30.21
23.93,61.2,30.26
24.47,61.5,30.27
24.12,61.5,30.26
24.12,61.5,30.5
24.21,61.3,30.56
24.17,61.8,29.45
24.13,60.8,30.83
23.98,61.3,30.36
24.17,61.5,31.47
24.38,61.5,29.9
24.3,61.8,30.07
24.34,61.8,30.4
24.02,61.3,30.71
23.95,61.8,29.52
24.08,61.2,30.09
24.11,61.7,30.8
24.26,61.9,30.03
23.85,61.8,31.19
24.33,61.4,30.27
24.08,61.3,30.05
24.04,60.9,30.81
23.95,61.5,31.3
23.85,61.1,30.71
24.22,61.2,31.13
24.11,61.0,31.34
23.91,61.3,30.04
23.91,61.4,30.97
24.05,61.5,29.74
24.35,61.2,30.71
24.06,61.7,30.46
23.87,61.3,31.12
24.06,61.2,31.09
24.06,61.5,30.78
23.7,62.0,30.65
24.09,61.5,30.75
24.07,61.3,30.53
24.2,60.9,30.47
24.38,61.3,31.22
24.27,61.5,31.28
24.06,61.3,30.43
23.93,60.9,30.62
24.49,61.1,30.54
24.11,61.8,29.69
24.1,61.8,30.33
24.1,61.1,31.3
24.13,61.6,30.13
24.08,61.0,31.56
24.01,61.8,31.09
24.02,61.5,30.7
24.1,61.7,30.78
24.02,60.9,30.04
23.99,61.6,30.37
24.12,61.4,31.22
24.06,61.7,30.19
24.33,61.7,31.03
23.7,61.4,29.81
24.26,61.2,29.9
24.29,61.6,31.45
23.79,61.4,30.49
24.05,61.1,30.23
24.04,61.1,31.18
23.89,61.0,31.12
23.98,61.2,30.96
23.93,61.7,30.22
24.36,61.5,30.36
24.24,61.2,30.66
24.29,61.6,30.85
24.21,61.2,30.25
23.93,61.4,30.59
24.02,61.3,30.63
24.17,61.6,31.14
23.92,60.9,30.88
24.21,61.1,29.75
24.06,60.9,30.39
24.04,61.3,30.04
24.21,61.8,30.78
24.17,61.2,30.96
24.05,61.2,30.55
24.27,61.7,30.37
23.94,61.7,30.53
24.19,61.4,30.6
24.19,61.6,30.18
24.05,61.1,29.89
24.15,61.8,29.47
23.91,62.0,31.13
24.24,61.6,30.75
24.07,60.8,30.68
24.02,61.2,31.13
24.26,61.6,29.87
23.99,61.3,29.63
23.89,61.8,30.69
23.87,61.6,30.65
24.19,61.2,29.63
23.91,61.4,30.68
24.36,61.1,30.3
23.79,61.3,30.1
24.35,61.2,30.33
24.13,61.8,29.28
24.09,62.0,30.2
24.02,61.0,30.15
24.16,60.8,30.78
24.09,61.3,30.42
24.27,60.9,30.82
24.12,61.4,29.23
24.12,61.6,30.08
24.05,61.8,30.78
24.09,61.5,30.35
24.15,61.3,30.92
23.84,60.8,29.6
23.9,61.4,30.87
24.21,61.4,30.18
24.13,61.6,30.13
24.07,61.2,31.0
24.1,61.3,31.08
24.15,61.0,31.02
24.02,60.7,31.52
23.98,61.1,31.13
24.13,60.9,30.1
23.95,61.5,30.57
24.16,61.2,30.32
23.84,61.2,31.51
24.25,61.1,31.05
24.17,60.4,30.41
24.14,61.9,30.94
24.25,61.1,29.88
24.35,61.3,30.63
24.25,61.0,30.03
23.82,61.7,29.66
23.91,61.4,30.89
24.01,61.2,30.95
24.1,61.3,30.73
24.18,61.9,30.41
23.99,61.4,29.87
24.13,61.3,29.92
23.99,61.1,30.02
24.01,60.8,30.38
23.89,61.4,31.04
23.96,61.5,31.03
23.9,61.7,29.68
23.95,60.7,30.15
24.26,61.1,30.14
23.96,61.2,29.23
24.49,61.4,30.78
24.17,61.4,30.38
24.13,61.4,30.44
23.97,61.5,31.17
24.21,61.1,30.54
24.01,61.7,30.28
24.12,61.5,30.79
24.48,61.3,31.03
24.09,61.9,30.65
24.27,61.9,30.84
23.99,61.7,30.43
24.09,60.5,30.46
24.37,61.9,30.56
24.01,61.6,30.12
24.37,62.0,30.22
24.21,61.8,31.19
24.02,61.9,31.5
24.19,61.7,31.3
24.25,61.8,29.84
24.19,62.0,29.79
23.86,61.5,29.9
23.99,60.9,30.57
24.06,61.3,29.1
24.09,61.5,30.21
24.19,61.4,31.2
24.13,61.0,30.99
23.9,60.9,30.25
24.16,61.2,30.28
24.19,61.6,30.78
24.18,61.9,30.97
24.26,61.7,30.23
24.23,61.7,30.38
24.17,61.4,30.22
24.09,60.9,29.83
23.85,61.3,30.39
24.16,61.3,30.35
24.13,61.3,29.87
24.14,61.4,30.82
23.91,61.5,30.74
23.94,61.7,30.85
24.26,61.3,30.12
24.09,60.8,29.51
24.2,61.3,30.73
24.1,61.4,30.17
24.1,61.8,30.05
24.24,61.2,29.87
24.02,61.6,30.36
24.11,61.5,31.29
24.03,61.4,30.25
24.03,61.7,29.96
24.05,61.2,30.83
24.13,61.2,30.59
24.03,61.4,29.44
24.29,61.2,30.83
23.97,61.6,31.56
24.07,61.2,29.2
24.03,61.5,29.88
24.32,61.4,29.08
24.13,61.5,30.46
24.25,61.3,31.0
23.88,61.3,30.55
24.14,61.4,31.2
24.23,61.5,30.92
24.11,61.4,31.35
24.26,61.9,31.08
24.02,61.1,30.3
24.31,61.4,30.53
24.44,60.9,30.07
24.05,61.5,30.38
24.03,61.1,30.53
24.32,61.3,30.46
24.34,61.3,31.17
24.02,61.5,30.33
24.04,61.2,30.03
24.06,61.2,30.07
23.9,61.8,30.83
23.96,61.5,29.8
23.95,61.2,30.4
23.98,61.3,31.16
24.09,61.9,30.65
24.14,61.3,30.46
24.33,61.2,30.48
23.95,61.2,29.99
24.25,61.2,30.07
24.07,61.2,30.4
24.09,61.0,30.64
24.2,61.1,30.97
23.93,61.2,30.55
24.16,61.6,31.18
24.12,61.3,31.3
24.17,61.3,30.9
24.14,61.8,31.11
24.47,61.8,30.0
24.0,61.3,29.93
24.02,61.2,30.76
24.01,61.1,29.83
24.02,61.6,30.35
24.0,61.3,30.89
24.28,61.3,31.21
24.31,61.2,30.37
24.01,61.2,30.18
23.98,61.5,30.66
24.17,61.0,29.96
24.02,61.7,30.41
24.19,61.2,30.5
24.13,61.4,30.49
23.87,61.0,30.54
24.33,61.4,30.08
24.37,61.3,30.14
24.01,61.4,30.13
24.04,61.8,29.69
24.14,61.5,30.67
24.15,61.2,30.95
24.2,61.2,30.9
24.4,61.6,30.37
24.07,61.8,30.09
23.98,61.5,30.87
23.89,61.6,30.82
23.99,61.6,30.61
24.1,61.8,31.37
24.37,60.8,30.49
24.02,61.6,30.37
24.13,61.7,30.3
24.1,61.0,29.72
24.28,61.1,30.83
24.48,61.1,30.45
24.02,61.2,30.75
24.03,61.3,31.42
24.26,61.5,30.3
24.2,61.7,29.33
24.38,61.7,30.74
24.19,61.1,30.58
24.05,61.1,30.13
24.19,61.8,30.7
24.27,61.6,30.89
24.22,61.4,30.03
24.18,61.5,30.35
24.26,61.4,31.24
24.28,61.6,30.14
24.31,61.3,30.53
24.2,61.5,29.19
24.07,60.9,29.76
24.12,61.2,30.58
24.28,61.2,31.11
23.98,61.3,29.82
24.16,61.1,30.54
24.04,61.2,30.31
24.1,60.9,30.98
24.29,61.6,29.89
24.13,61.4,30.72
24.11,60.9,30.17
23.9,61.1,30.61
24.21,61.5,30.53
24.2,61.2,30.37
24.42,61.2,30.74
24.05,61.4,30.52
24.13,61.5,30.43
24.14,61.0,30.32
24.34,61.6,30.54
24.09,61.2,30.61
24.14,61.4,30.01
24.19,61.4,30.33
24.13,61.2,29.97
24.03,61.1,30.48
24.13,61.3,30.2
24.26,61.9,30.89
23.95,61.0,30.84
24.12,61.9,30.04
23.99,61.3,30.5
24.28,61.4,30.82
23.87,61.1,30.41
24.02,61.2,30.14
24.16,61.2,29.95
24.33,61.1,30.93
24.09,61.3,30.95
24.02,61.3,30.4
24.38,62.0,30.88
23.88,61.1,29.02
23.77,61.4,31.16
24.17,61.5,30.42
24.02,61.1,30.57
23.95,61.6,30.34
24.21,61.3,31.2
24.14,60.7,29.97
24.02,61.6,31.24
23.91,61.1,30.7
24.23,61.1,30.81
24.2,61.6,30.34
24.09,61.3,29.85
24.38,61.7,30.97
23.94,61.8,30.66
23.87,61.2,31.18
24.0,61.6,30.4
24.09,61.2,30.29
24.14,62.1,31.19
24.06,61.2,31.46
24.15,61.7,30.5
23.91,61.7,30.12
24.32,61.5,30.91
24.09,61.2,30.37
24.27,61.4,30.8
24.15,60.8,30.37
24.17,61.5,31.28
24.19,61.5,30.15
24.17,61.4,30.74
24.2,60.5,30.26
24.3,61.0,30.36
24.13,61.2,30.29
24.21,61.5,30.87
24.09,61.5,30.96
24.32,61.3,30.78
24.0,61.6,30.45
24.37,61.1,30.57
24.09,61.6,30.95
23.89,61.5,30.96
24.12,61.5,29.15
24.0,61.3,30.36
24.23,61.9,30.39
24.0,61.5,30.83
24.03,61.1,30.47
23.82,61.5,30.86
24.03,61.6,29.96
23.74,61.2,30.63
23.86,61.7,30.95
24.21,61.5,29.76
24.22,60.7,31.76
24.16,61.5,31.1
23.95,61.3,30.5
24.09,61.6,30.09
24.1,61.7,30.41
23.93,61.5,30.54
24.33,61.9,30.72
24.23,61.3,31.25
24.07,61.6,30.26
24.1,61.6,30.78
24.13,61.4,29.85
23.79,61.6,30.29
24.06,61.2,30.69
24.0,61.3,30.85
23.95,61.0,30.12
24.06,61.5,30.28
24.37,61.5,31.23
24.2,61.8,31.08
24.01,61.6,30.6
24.19,61.3,29.38
110.0,8.0,600.0
24.24,61.5,30.49
24.11,61.7,30.34
24.0,61.6,30.24
24.2,61.7,30.69
24.16,61.3,30.69
24.23,61.3,30.98
24.2,61.2,30.04
24.26,61.4,30.34
24.02,61.4,31.52
24.3,61.5,30.61
24.13,61.4,30.41
24.41,61.4,30.03
24.0,61.2,30.75
24.36,61.7,31.02
24.13,61.4,30.94
24.0,61.3,30.37
24.03,61.2,30.68
24.05,61.0,31.34
24.16,61.8,31.04
24.18,61.6,30.11
24.01,60.9,29.23
24.1,61.6,30.65
24.42,61.7,30.9
24.36,61.4,29.96
24.17,61.9,30.5
24.11,61.5,30.37
24.12,61.0,30.55
24.19,61.5,30.23
23.95,61.5,31.15
24.06,61.2,30.57
23.85,61.6,30.06
24.16,60.9,30.96
24.2,61.7,29.87
24.03,61.1,31.14
24.34,61.1,31.0
23.92,61.4,31.19
23.88,61.5,30.42
24.13,61.4,30.25
24.26,61.2,30.54
24.35,61.2,30.46
24.03,61.1,30.17
24.26,61.3,30.22
24.09,61.7,30.32
24.07,61.4,29.91
24.23,61.7,30.84
24.2,61.8,30.47
23.86,61.2,30.35
24.32,61.3,29.94
24.31,62.1,29.92
24.01,61.8,31.47
24.16,60.9,30.19
24.17,61.5,30.81
24.14,61.4,30.58
24.02,61.6,29.11
24.0,61.2,31.4
24.1,61.1,30.84
24.28,61.2,30.12
24.18,61.2,30.49
24.04,61.6,29.93
24.22,61.0,31.41
23.67,61.2,30.05
24.27,60.9,30.24
23.84,61.7,30.14
24.05,61.8,30.54
23.93,61.3,31.19
23.91,61.3,31.39
24.27,61.5,30.3
24.03,61.8,30.69
24.15,61.5,30.54
24.09,61.2,30.01
24.17,60.9,31.71
24.11,61.1,31.18
23.91,61.4,30.59
24.25,61.2,31.29
24.03,61.5,31.11
23.87,61.2,30.54
24.04,61.1,30.66
24.33,61.0,31.26
24.23,61.9,30.03
24.05,61.7,31.34
24.05,61.9,30.39
24.05,61.6,31.26
24.41,61.3,30.5
24.16,61.8,30.67
24.16,61.4,30.48
24.25,61.5,30.23
24.14,61.4,30.36
24.06,60.5,31.19
24.07,61.9,29.34
24.09,61.5,29.88
24.09,61.5,30.14
24.21,61.4,29.96
24.11,61.4,31.25
24.21,61.2,31.13
24.09,61.6,30.8
24.11,61.0,30.18
23.8,61.5,31.17
24.24,61.6,29.71
24.15,61.3,31.57
24.25,61.5,30.16
23.67,61.1,30.37
24.41,61.1,30.29
24.08,61.5,29.96
24.27,61.6,31.46
23.94,60.8,30.89
24.19,61.6,31.11
23.94,61.2,29.89
24.01,61.3,30.59
24.39,61.0,30.76
24.07,61.1,30.64
24.13,61.7,29.92
24.23,61.4,31.04
24.17,61.3,30.56
24.12,61.4,30.02
24.15,61.5,29.57
24.46,61.5,30.8
24.09,61.4,31.73
24.13,61.7,29.99
24.26,61.7,30.59
24.27,61.5,31.06
24.28,61.4,29.87
24.2,61.6,30.26
23.93,61.5,30.07
24.35,61.7,30.99
23.93,61.7,31.16
24.15,61.1,30.58
23.99,61.1,30.08
24.09,61.2,30.28
24.15,61.7,30.18
24.15,60.9,30.01
24.16,61.5,30.45
24.34,61.5,30.79
24.17,61.7,30.75
24.06,61.5,30.5
24.24,61.0,30.53
24.28,61.1,30.46
23.92,61.0,29.85
24.19,61.2,30.58
24.21,61.3,30.21
24.06,61.1,29.83
24.31,61.8,30.69
24.08,61.0,30.19
24.12,61.8,30.61
24.07,61.8,30.92
24.1,61.7,30.02
23.94,61.2,30.55
23.88,61.5,29.59
24.34,61.0,31.27
23.97,61.7,29.82
23.95,61.4,30.24
23.78,61.3,31.17
24.0,61.0,30.38
23.9,60.7,29.9
24.35,61.1,30.86
24.25,61.7,30.85
24.0,61.3,30.18
24.44,61.3,30.24
24.25,61.6,30.28
24.05,61.9,30.4
23.73,61.8,29.55
24.44,61.1,30.41
